CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1169,GOLD,0230,INET,DLR,Military History,3,01/12/2026,TBA,null,null,ONLINE,TBA,Hobbs,15,15
1170,GOLD,0302,TRAD,CLS,Advanced Tactical Leadership,3,01/12/2026,"T,R",0930,1045,JUSTCE,139,Hobbs,15,15
1170,GOLD,0302,TRAD,CLS,Advanced Tactical Leadership,3,01/12/2026,"M,W,F",0600,0700,JUSTCE,130,Hobbs,15,15
1171,GOLD,0402,TRAD,CLS,Company and Staff Leadership,3,01/12/2026,"M,W,F",0600,0700,JUSTCE,130,Hobbs,15,15
1171,GOLD,0402,TRAD,CLS,Company and Staff Leadership,3,01/12/2026,"T,R",0800,0915,JUSTCE,139,Hobbs,15,15
1411,HIST,0110,TRAD,CLS,US History 1492-1877,3,01/12/2026,"M,W,F",1200,1250,WEBSTR,TBA,TBA,30,30
1412,HIST,0110,INET,DLR,US History 1492-1877,3,01/12/2026,TBA,null,null,ONLINE,TBA,Mountz,30,30
1413,HIST,0110,INET,DLR,US History 1492-1877,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,30,30
1414,HIST,0120,TRAD,CLS,US History 1877 to Present,3,01/12/2026,"T,R",0930,1045,WEBSTR,105,Mountz,30,30
1415,HIST,0120,TRAD,CLS,US History 1877 to Present,3,01/12/2026,"T,R",1100,1215,WEBSTR,105,TBA,30,30
1416,HIST,0120,INET,DLR,US History 1877 to Present,3,01/12/2026,TBA,null,null,ONLINE,TBA,Mountz,30,30
1417,HIST,0120,INET,DLR,US History 1877 to Present,3,03/09/2026,TBA,null,null,ONLINE,TBA,TBA,30,30
1418,HIST,0130,TRAD,CLS,Western Civilization to 1500,3,01/12/2026,"M,W,F",1000,1050,WEBSTR,106,Fischer,30,30
1419,HIST,0130,INET,DLR,Western Civilization to 1500,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,38,38
1422,HIST,0140,TRAD,CLS,Western Civ since 1500,3,01/12/2026,"M,W,F",0900,0950,WEBSTR,205,Pettit,30,30
1423,HIST,0140,TRAD,CLS,Western Civ since 1500,3,01/12/2026,"M,W,F",1100,1150,WEBSTR,205,Pettit,30,30
1424,HIST,0140,TRAD,CLS,Western Civ since 1500,3,01/12/2026,"M,W,F",1200,1250,WEBSTR,205,Pettit,30,30
1425,HIST,0140,INET,DLR,Western Civ since 1500,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,38,38
1426,HIST,0140,INET,DLR,Western Civ since 1500,3,03/09/2026,TBA,null,null,ONLINE,TBA,TBA,38,38
1427,HIST,0150,INET,DLR,Asian Civilizations,3,01/12/2026,TBA,null,null,ONLINE,TBA,Harris,38,38
1524,HIST,0201,TRAD,CLS,Intro to Historical Research,3,01/12/2026,"M,W,F",1300,1350,WEBSTR,204,Fischer,20,20
1525,HIST,0210,TRAD,CLS,Intro African-American Hist I,3,01/12/2026,"M,W,F",1000,1050,WEBSTR,208,Mountz,14,14
1526,HIST,0370,TRAD,CLS,Twentieth Century Europe,3,01/12/2026,"T,R",1100,1215,WEBSTR,208,Pettit,28,28
1527,HIST,0409,INET,DLR,American Revolution at 250,3,01/12/2026,TBA,null,null,ONLINE,TBA,Bever,20,20
1528,HIST,0415,TRAD,CLS,Early African American History,3,01/12/2026,"M,W,F",1000,1050,WEBSTR,208,Mountz,14,14
1529,HIST,0490,INET,DLR,Professional Seminar,1,01/12/2026,TBA,null,null,ONLINE,TBA,Bever,10,10
1533,HIST,0491,INDV,INT,MSSU Archives Internship,3,01/12/2026,TBA,null,null,TBA,TBA,Hamm,3,3
1534,HIST,0498,TRAD,CLS,History Through Games,3,01/12/2026,"T,R",1300,1415,WEBSTR,223,Fischer,20,20
1538,HIST,0511,INET,GDL,American Revolution at 250,3,01/12/2026,TBA,null,null,ONLINE,TBA,Bever,10,10
1859,HNRS,0298,TRAD,CLS,The Decade of Change,3,01/12/2026,"T,R",1100,1215,WEBSTR,129,Fordham,15,15
1865,HNRS,0298,TRAD,CLS,Tear Down This Wall,3,01/12/2026,"M,W",1400,1515,LBRARY,102D,Nichols,15,15
1868,HNRS,0298,TRAD,CLS,W Africa: Stories for the Road,3,01/12/2026,"M,W,F",1000,1050,LBRARY,102D,Jensen,15,15
1863,HNRS,0495,TRAD,CLS,The Decade of Change,3,01/12/2026,"T,R",1100,1215,WEBSTR,129,Fordham,15,15
1866,HNRS,0495,TRAD,CLS,Tear Down This Wall,3,01/12/2026,"M,W",1400,1515,LBRARY,102D,Nichols,15,15
1869,HNRS,0495,TRAD,CLS,W Africa: Stories for the Road,3,01/12/2026,"M,W,F",1000,1050,LBRARY,102D,Jensen,15,15
1506,HS,0101,INET,DLR,Intro to Health Professions,1,01/12/2026,TBA,null,null,TBA,TBA,Patrick,40,40
1507,HS,0111,TRAD,CLS,Medical Terminology,3,01/12/2026,"T,R",0800,0915,LEONHS,166,Whiteman,2,2
1508,HS,0111,TRAD,CLS,Medical Terminology,3,01/12/2026,"T,R",0800,0915,LEONHS,166,Whiteman,28,28
1509,HS,0111,TRAD,CLS,Medical Terminology,3,01/12/2026,"T,R",1300,1415,LEONHS,166,Whiteman,8,8
1510,HS,0111,TRAD,CLS,Medical Terminology,3,01/12/2026,"T,R",1300,1415,LEONHS,166,Whiteman,22,22
1511,HS,0111,INET,DLR,Medical Terminology,3,01/12/2026,TBA,null,null,TBA,TBA,Patrick,40,40
1512,HS,0111,INET,DLR,Medical Terminology,3,01/12/2026,TBA,null,null,TBA,TBA,Smith,40,40
